,category,price,price_1m2,area,title_deed,repair,room_number,floor_house,total_floors,title_length,floor_status
21923,New construction,145000.0,2070.0,70.0,don't exist,exist,2.0,6.0,8.0,50,2
21924,Old building,135000.0,2080.0,65.0,exist,exist,3.0,4.0,5.0,51,3
21925,New construction,165000.0,1920.0,86.0,exist,exist,2.0,10.0,18.0,50,2
21926,Old building,112000.0,2040.0,55.0,exist,exist,2.0,2.0,5.0,51,2
21927,New construction,329000.0,1790.0,184.0,don't exist,don't exist,4.0,14.0,16.0,57,3
21928,New construction,50000.0,909.0,55.0,exist,exist,2.0,6.0,6.0,46,3
21929,New construction,205000.0,3360.0,61.0,exist,exist,2.0,13.0,16.0,56,3
21930,New construction,90000.0,1610.0,56.0,don't exist,don't exist,1.0,8.0,9.0,48,3
21931,New construction,148000.0,1860.0,79.8,don't exist,exist,2.0,5.0,15.0,50,2
21932,New construction,378000.0,2700.0,140.0,don't exist,don't exist,3.0,6.0,7.0,48,3
21933,Old building,86000.0,2460.0,35.0,exist,exist,1.0,1.0,5.0,51,1
21934,New construction,350000.0,1790.0,196.0,exist,exist,4.0,17.0,17.0,46,3
21935,New construction,1000000.0,3640.0,275.0,exist,exist,4.0,7.0,14.0,57,2
21936,New construction,1090000.0,3560.0,306.0,exist,exist,5.0,8.0,18.0,46,2
21937,Old building,103000.0,1580.0,65.0,exist,exist,3.0,2.0,5.0,49,2
21938,New construction,145000.0,2900.0,50.0,exist,exist,2.0,15.0,20.0,48,2
21939,New construction,560000.0,2500.0,224.0,exist,don't exist,4.0,14.0,23.0,46,2
21940,New construction,610000.0,3280.0,186.0,exist,exist,4.0,5.0,19.0,57,2
21941,New construction,610000.0,3050.0,200.0,don't exist,exist,4.0,3.0,14.0,46,1
21942,New construction,208000.0,2190.0,95.0,don't exist,exist,3.0,5.0,16.0,44,2
21943,New construction,650000.0,3420.0,190.0,exist,exist,4.0,11.0,14.0,49,3
21944,New construction,180000.0,2810.0,64.0,exist,exist,2.0,16.0,17.0,45,3
21945,New construction,445000.0,2080.0,214.0,exist,exist,4.0,18.0,21.0,46,3
21946,New construction,199500.0,1660.0,120.0,exist,exist,2.0,10.0,16.0,49,2
21947,New construction,850000.0,2900.0,293.0,exist,exist,4.0,11.0,12.0,49,3
21948,New construction,620000.0,3750.0,165.5,exist,don't exist,4.0,11.0,19.0,48,2
21949,New construction,320000.0,3880.0,82.4,exist,exist,2.0,7.0,19.0,47,2
21950,New construction,720000.0,4500.0,160.0,exist,exist,3.0,3.0,4.0,48,2
21951,New construction,370000.0,2060.0,180.0,exist,exist,4.0,12.0,16.0,47,2
21952,New construction,549000.0,2650.0,207.0,exist,exist,4.0,12.0,18.0,46,2
21953,New construction,530000.0,2120.0,250.0,exist,exist,4.0,18.0,21.0,46,3
21954,New construction,640000.0,2960.0,216.0,exist,exist,4.0,15.0,16.0,46,3
21955,Old building,137000.0,1830.0,75.0,exist,exist,3.0,3.0,9.0,49,2
21956,New construction,53000.0,1040.0,51.0,don't exist,exist,2.0,3.0,7.0,46,2
21957,New construction,770000.0,3410.0,226.0,don't exist,exist,4.0,9.0,17.0,46,2
21958,New construction,1340000.0,4690.0,286.0,exist,exist,5.0,12.0,22.0,46,2
21959,New construction,899000.0,3710.0,242.0,exist,exist,4.0,15.0,20.0,46,2
21960,New construction,208000.0,1650.0,126.0,don't exist,don't exist,3.0,1.0,22.0,47,1
21961,New construction,197000.0,3130.0,63.0,don't exist,exist,2.0,10.0,11.0,47,3
21962,Old building,255000.0,2220.0,115.0,exist,exist,3.0,3.0,10.0,46,2
21963,Old building,162000.0,1910.0,85.0,exist,exist,3.0,5.0,9.0,51,2
21964,Old building,560000.0,2860.0,196.0,exist,exist,4.0,3.0,4.0,46,2
21965,New construction,410000.0,2220.0,185.0,exist,exist,3.0,12.0,18.0,46,2
21966,Old building,550000.0,3440.0,160.0,exist,exist,5.0,1.0,2.0,46,2
21967,Old building,78000.0,1730.0,45.0,exist,exist,2.0,1.0,9.0,49,1
21968,Old building,750000.0,2500.0,300.0,exist,exist,8.0,4.0,5.0,46,3
21969,New construction,123000.0,2120.0,58.0,exist,exist,2.0,13.0,16.0,55,3
21970,New construction,187000.0,1210.0,155.0,exist,exist,3.0,21.0,23.0,46,3
21971,New construction,564000.0,2600.0,217.0,don't exist,don't exist,4.0,10.0,16.0,46,2
21972,New construction,615000.0,2960.0,208.0,exist,don't exist,4.0,10.0,14.0,51,2
21973,New construction,305000.0,3080.0,99.0,don't exist,exist,3.0,9.0,16.0,56,2
21974,New construction,160000.0,2460.0,65.0,exist,exist,2.0,3.0,14.0,57,1
21975,New construction,1100000.0,3440.0,320.0,exist,exist,5.0,12.0,14.0,46,3
21976,New construction,590000.0,2670.0,221.0,exist,don't exist,4.0,4.0,15.0,51,2
21977,New construction,369000.0,2640.0,140.0,don't exist,exist,4.0,5.0,16.0,47,2
21978,New construction,192000.0,1540.0,125.0,exist,exist,3.0,16.0,18.0,52,3
21979,New construction,114000.0,2070.0,55.0,exist,exist,2.0,10.0,18.0,51,2
21980,New construction,195000.0,3610.0,54.0,don't exist,exist,1.0,11.0,17.0,56,2
21981,Old building,127000.0,2540.0,50.0,exist,exist,3.0,2.0,5.0,55,2
21982,Old building,107000.0,2140.0,50.0,exist,exist,1.0,3.0,5.0,51,2
21983,New construction,210000.0,1750.0,120.0,exist,exist,3.0,15.0,17.0,49,3
21984,New construction,140000.0,2060.0,68.0,exist,exist,2.0,14.0,17.0,50,3
21985,New construction,217000.0,2710.0,80.0,exist,exist,2.0,6.0,17.0,45,2
21986,New construction,193000.0,2840.0,68.0,exist,exist,2.0,16.0,18.0,46,3
21987,New construction,240000.0,1780.0,135.0,exist,exist,3.0,15.0,16.0,55,3
