,category,price,price_1m2,area,title_deed,repair,room_number,floor_house,total_floors,title_length,floor_status
0,New construction,183000.0,1790.0,102.0,don't exist,exist,2.0,2.0,17.0,49,1
1,Old building,190000.0,2000.0,95.0,exist,exist,3.0,4.0,9.0,47,2
2,New construction,294000.0,1550.0,190.0,exist,don't exist,3.0,6.0,16.0,46,2
3,Old building,87000.0,1930.0,45.0,exist,exist,1.0,5.0,5.0,46,3
4,New construction,125000.0,2160.0,58.0,don't exist,exist,2.0,7.0,16.0,51,2
5,Old building,150000.0,2730.0,55.0,exist,exist,2.0,2.0,6.0,46,2
6,New construction,62000.0,1510.0,41.0,exist,exist,2.0,3.0,10.0,46,2
7,New construction,729000.0,3390.0,215.0,exist,don't exist,4.0,5.0,11.0,51,2
8,Old building,365000.0,2090.0,175.0,exist,exist,5.0,9.0,10.0,52,3
9,New construction,105000.0,1240.0,85.0,exist,exist,3.0,5.0,14.0,46,2
10,New construction,235000.0,1960.0,120.0,exist,exist,4.0,7.0,12.0,51,2
11,New construction,153000.0,1910.0,80.0,exist,exist,3.0,6.0,12.0,55,2
12,New construction,142000.0,2220.0,64.0,exist,exist,2.0,3.0,19.0,46,1
13,New construction,950000.0,4040.0,234.9,exist,exist,5.0,13.0,26.0,59,2
14,New construction,480000.0,3060.0,157.0,exist,exist,3.0,3.0,12.0,51,2
15,New construction,447000.0,2570.0,174.0,exist,don't exist,3.0,6.0,21.0,46,2
16,New construction,313320.0,2100.0,149.2,don't exist,don't exist,3.0,4.0,18.0,48,1
17,Old building,175000.0,2690.0,65.0,exist,exist,2.0,2.0,4.0,46,2
18,New construction,188000.0,2760.0,68.0,don't exist,exist,2.0,7.0,16.0,45,2
19,New construction,195000.0,3610.0,54.0,don't exist,exist,2.0,10.0,13.0,47,3
20,New construction,340000.0,3950.0,86.0,exist,exist,3.0,12.0,17.0,57,2
21,New construction,370000.0,2610.0,142.0,exist,don't exist,3.0,9.0,16.0,46,2
22,New construction,680000.0,3400.0,200.0,exist,exist,4.0,4.0,15.0,46,2
23,New construction,515000.0,2850.0,181.0,exist,exist,4.0,12.0,18.0,57,2
24,Old building,108000.0,2400.0,45.0,exist,exist,1.0,1.0,3.0,46,2
25,New construction,267000.0,2320.0,115.0,exist,exist,3.0,8.0,17.0,46,2
26,New construction,128000.0,2330.0,55.0,exist,exist,2.0,16.0,18.0,51,3
27,New construction,235000.0,1560.0,151.1,exist,don't exist,3.0,6.0,17.0,51,2
28,New construction,140000.0,2120.0,66.0,don't exist,exist,2.0,6.0,8.0,50,2
29,Old building,190000.0,2000.0,95.0,exist,exist,3.0,2.0,5.0,46,2
30,New construction,55000.0,1220.0,45.0,exist,exist,2.0,3.0,11.0,46,2
31,Old building,350000.0,4120.0,85.0,exist,exist,3.0,9.0,10.0,46,3
32,Old building,86500.0,2160.0,40.0,exist,exist,2.0,2.0,5.0,48,2
33,New construction,410000.0,2930.0,140.0,don't exist,exist,3.0,11.0,16.0,57,2
34,Old building,170000.0,1350.0,126.0,exist,exist,5.0,1.0,5.0,51,1
35,New construction,285000.0,1730.0,165.0,exist,don't exist,3.0,8.0,15.0,46,2
36,Old building,225000.0,2500.0,90.0,exist,exist,3.0,8.0,8.0,46,3
37,New construction,150000.0,1320.0,114.0,exist,exist,3.0,9.0,19.0,49,2
38,New construction,150000.0,2340.0,64.0,don't exist,exist,3.0,1.0,15.0,48,1
39,Old building,138000.0,2300.0,60.0,exist,exist,2.0,3.0,3.0,45,3
40,Old building,135000.0,2450.0,55.0,exist,exist,2.0,9.0,9.0,49,3
41,New construction,245000.0,1960.0,125.0,exist,exist,4.0,4.0,16.0,49,2
42,New construction,165000.0,1740.0,95.0,exist,exist,2.0,2.0,14.0,48,1
43,Old building,100000.0,2860.0,35.0,exist,don't exist,1.0,3.0,5.0,47,2
44,New construction,205000.0,1860.0,110.0,exist,exist,3.0,7.0,17.0,46,2
45,New construction,212000.0,1860.0,114.0,exist,exist,3.0,16.0,17.0,49,3
46,New construction,205000.0,1950.0,105.0,exist,exist,2.0,5.0,18.0,46,2
47,Old building,119900.0,1480.0,81.0,exist,exist,3.0,2.0,9.0,52,1
48,New construction,86000.0,1930.0,44.5,exist,exist,2.0,12.0,13.0,53,3
49,New construction,160000.0,2760.0,58.0,don't exist,exist,2.0,11.0,13.0,56,3
50,Old building,103000.0,3430.0,30.0,exist,exist,1.0,4.0,5.0,57,3
51,New construction,390000.0,2230.0,175.0,exist,exist,3.0,12.0,15.0,48,3
52,Old building,105000.0,1170.0,90.0,exist,exist,3.0,5.0,5.0,46,3
53,New construction,236000.0,1970.0,120.0,exist,exist,4.0,8.0,16.0,49,2
54,New construction,220000.0,2420.0,91.0,exist,exist,3.0,9.0,19.0,48,2
55,New construction,130000.0,2710.0,48.0,exist,exist,1.0,15.0,16.0,50,3
56,New construction,160000.0,1780.0,90.0,exist,exist,3.0,8.0,10.0,50,3
57,New construction,399900.0,3200.0,125.0,exist,exist,3.0,11.0,18.0,57,2
58,New construction,238000.0,1540.0,155.0,exist,don't exist,3.0,7.0,16.0,49,2
59,New construction,275000.0,1770.0,155.0,exist,exist,3.0,15.0,18.0,51,3
60,Old building,75000.0,1830.0,41.0,exist,exist,1.0,2.0,4.0,49,2
61,New construction,63000.0,1260.0,50.0,exist,exist,2.0,10.0,11.0,46,3
62,Old building,99000.0,2200.0,45.0,exist,exist,2.0,8.0,9.0,46,3
63,New construction,212000.0,2360.0,90.0,exist,exist,3.0,16.0,16.0,50,3
64,New construction,290000.0,2230.0,130.0,exist,exist,3.0,16.0,17.0,46,3
65,New construction,210000.0,2100.0,100.0,exist,don't exist,2.0,15.0,18.0,48,3
66,New construction,185000.0,2060.0,90.0,exist,exist,3.0,10.0,18.0,44,2
67,New construction,375000.0,2800.0,134.0,exist,exist,4.0,4.0,17.0,49,1
68,Old building,90000.0,2570.0,35.0,exist,exist,1.0,1.0,5.0,49,1
69,Old building,350000.0,5000.0,70.0,exist,exist,3.0,1.0,2.0,51,2
70,Old building,87500.0,1860.0,47.0,exist,exist,2.0,1.0,7.0,45,1
71,Old building,87000.0,2180.0,40.0,exist,exist,3.0,3.0,5.0,52,2
72,New construction,223000.0,3500.0,63.7,don't exist,don't exist,2.0,2.0,7.0,49,2
73,New construction,132000.0,1970.0,67.0,exist,exist,2.0,16.0,17.0,56,3
74,New construction,175000.0,1730.0,101.0,exist,exist,3.0,14.0,17.0,49,3
75,Old building,165000.0,1500.0,110.0,exist,exist,4.0,7.0,9.0,50,3
76,New construction,167000.0,2490.0,67.0,don't exist,exist,2.0,12.0,18.0,56,2
77,New construction,68000.0,756.0,90.0,don't exist,don't exist,2.0,9.0,14.0,44,2
78,New construction,230000.0,2000.0,115.0,exist,don't exist,2.0,9.0,17.0,46,2
79,New construction,339000.0,2400.0,141.0,exist,exist,3.0,10.0,16.0,47,2
80,New construction,270000.0,2670.0,101.0,exist,exist,3.0,8.0,14.0,46,2
81,Old building,92000.0,2630.0,35.0,exist,exist,1.0,2.0,5.0,49,2
82,New construction,620000.0,2910.0,213.0,exist,exist,4.0,6.0,18.0,57,2
83,Old building,84000.0,2400.0,35.0,exist,exist,1.0,4.0,5.0,52,3
84,New construction,158000.0,2260.0,70.0,exist,exist,3.0,13.0,15.0,50,3
85,Old building,61000.0,2540.0,24.0,exist,exist,1.0,1.0,3.0,46,2
86,New construction,295000.0,1740.0,170.0,exist,exist,5.0,4.0,17.0,52,1
87,Old building,399000.0,3070.0,130.0,exist,exist,4.0,2.0,5.0,52,2
88,New construction,146000.0,2250.0,65.0,don't exist,exist,2.0,8.0,16.0,51,2
89,New construction,235000.0,2350.0,100.0,exist,exist,3.0,16.0,18.0,55,3
90,New construction,181000.0,2700.0,67.1,don't exist,don't exist,1.0,17.0,20.0,58,3
91,New construction,212000.0,1840.0,115.0,exist,exist,3.0,16.0,17.0,49,3
92,New construction,260000.0,2260.0,115.0,don't exist,exist,3.0,15.0,20.0,46,2
93,New construction,235500.0,1730.0,136.0,don't exist,don't exist,3.0,6.0,18.0,49,2
94,New construction,175000.0,2500.0,70.0,exist,exist,2.0,6.0,18.0,45,2
95,New construction,245000.0,2230.0,110.0,exist,don't exist,2.0,17.0,19.0,58,3
96,Old building,92000.0,1150.0,80.0,exist,exist,3.0,1.0,5.0,45,1
97,Old building,135000.0,2700.0,50.0,exist,exist,1.0,2.0,6.0,47,2
98,New construction,110000.0,965.0,114.0,don't exist,don't exist,3.0,2.0,4.0,52,2
99,New construction,620000.0,3540.0,175.0,exist,exist,3.0,5.0,14.0,46,2
100,New construction,305000.0,3210.0,95.0,exist,exist,2.0,4.0,16.0,45,2
101,New construction,355000.0,2090.0,170.0,exist,exist,4.0,15.0,17.0,58,3
102,Old building,168000.0,2240.0,75.0,exist,exist,3.0,3.0,4.0,57,2
103,New construction,100000.0,1040.0,96.0,exist,exist,3.0,2.0,20.0,48,1
104,New construction,270000.0,2700.0,100.0,exist,exist,2.0,13.0,17.0,46,3
105,New construction,620500.0,2980.0,208.5,don't exist,don't exist,3.0,5.0,5.0,50,3
106,Old building,169000.0,1990.0,85.0,exist,exist,3.0,5.0,5.0,45,3
107,Old building,188000.0,2090.0,90.0,exist,exist,3.0,4.0,5.0,57,3
108,New construction,188000.0,2610.0,72.0,exist,exist,3.0,11.0,18.0,47,2
109,Old building,69000.0,1770.0,39.0,exist,exist,1.0,2.0,6.0,52,2
110,New construction,165000.0,2540.0,65.0,exist,exist,2.0,15.0,18.0,48,3
111,Old building,240000.0,2400.0,100.0,exist,exist,4.0,5.0,6.0,48,3
112,Old building,114900.0,2090.0,55.0,exist,exist,3.0,5.0,5.0,48,3
113,Old building,115000.0,3830.0,30.0,exist,don't exist,2.0,8.0,9.0,56,3
114,New construction,578500.0,2230.0,260.0,exist,exist,5.0,3.0,17.0,58,1
115,New construction,798000.0,3090.0,258.0,exist,exist,5.0,10.0,11.0,47,3
116,New construction,310000.0,1830.0,169.0,exist,exist,4.0,6.0,16.0,49,2
117,New construction,104000.0,1730.0,60.0,exist,exist,2.0,9.0,17.0,46,2
118,New construction,62000.0,1290.0,48.0,exist,exist,2.0,9.0,12.0,46,2
119,New construction,296250.0,2500.0,118.5,exist,exist,3.0,9.0,14.0,48,2
120,New construction,132000.0,2690.0,49.0,exist,exist,2.0,6.0,16.0,45,2
121,New construction,350000.0,2400.0,146.0,exist,exist,3.0,12.0,18.0,46,2
122,Old building,130000.0,2170.0,60.0,exist,exist,2.0,1.0,5.0,51,1
123,New construction,195000.0,3550.0,55.0,don't exist,exist,2.0,8.0,18.0,56,2
124,New construction,468000.0,3120.0,150.0,exist,exist,3.0,15.0,18.0,58,3
125,Old building,134000.0,1680.0,80.0,exist,exist,3.0,9.0,9.0,49,3
126,New construction,410000.0,4060.0,101.0,don't exist,exist,3.0,3.0,7.0,48,2
127,New construction,238000.0,2000.0,119.0,exist,exist,4.0,6.0,17.0,49,2
128,New construction,250000.0,2310.0,108.0,exist,exist,2.0,3.0,16.0,58,1
129,New construction,244900.0,3060.0,80.0,exist,exist,3.0,6.0,16.0,45,2
130,New construction,225000.0,2740.0,82.0,exist,exist,3.0,6.0,17.0,48,2
131,New construction,255000.0,1890.0,135.0,don't exist,exist,3.0,12.0,15.0,49,3
132,New construction,338000.0,2410.0,140.0,exist,exist,4.0,7.0,16.0,49,2
133,New construction,153000.0,1990.0,77.0,exist,exist,2.0,16.0,18.0,51,3
134,Old building,85000.0,2580.0,33.0,exist,exist,1.0,3.0,5.0,46,2
135,New construction,580000.0,3260.0,178.0,exist,exist,4.0,5.0,16.0,46,2
136,New construction,112000.0,1720.0,65.0,exist,exist,2.0,13.0,13.0,51,3
137,New construction,155000.0,1990.0,78.0,don't exist,exist,2.0,2.0,17.0,50,1
138,New construction,175000.0,1590.0,110.0,exist,don't exist,2.0,2.0,20.0,57,1
139,New construction,227000.0,2320.0,98.0,exist,exist,2.0,15.0,17.0,56,3
140,New construction,132000.0,2200.0,60.0,exist,exist,2.0,12.0,18.0,50,2
141,New construction,257000.0,1840.0,140.0,exist,exist,3.0,14.0,18.0,49,3
142,New construction,350000.0,2190.0,160.0,exist,don't exist,3.0,10.0,18.0,57,2
143,New construction,260000.0,1860.0,140.0,exist,exist,3.0,9.0,17.0,51,2
144,New construction,359000.0,2560.0,140.0,exist,exist,3.0,3.0,15.0,46,1
145,New construction,430000.0,2830.0,152.0,exist,exist,3.0,8.0,22.0,58,2
146,New construction,190000.0,1730.0,110.0,exist,exist,3.0,2.0,18.0,51,1
147,New construction,160000.0,1980.0,81.0,exist,exist,2.0,17.0,17.0,45,3
148,New construction,218000.0,2420.0,90.0,exist,exist,2.0,11.0,16.0,50,2
149,Old building,95000.0,1900.0,50.0,exist,exist,1.0,5.0,5.0,52,3
150,New construction,115000.0,2020.0,57.0,exist,exist,1.0,13.0,14.0,55,3
151,New construction,217000.0,2280.0,95.0,don't exist,exist,3.0,6.0,16.0,46,2
152,New construction,212000.0,2360.0,90.0,don't exist,don't exist,2.0,10.0,16.0,48,2
153,New construction,113000.0,1410.0,80.0,don't exist,don't exist,2.0,8.0,9.0,49,3
154,New construction,258000.0,1470.0,175.0,exist,don't exist,3.0,14.0,18.0,57,3
155,New construction,390000.0,1700.0,230.0,exist,exist,5.0,10.0,17.0,51,2
156,New construction,319500.0,2480.0,129.0,don't exist,don't exist,4.0,15.0,16.0,57,3
157,New construction,187000.0,2400.0,78.0,exist,exist,2.0,10.0,10.0,48,3
158,New construction,175000.0,1550.0,113.0,don't exist,don't exist,3.0,5.0,9.0,50,2
159,New construction,168000.0,1490.0,113.0,don't exist,don't exist,3.0,5.0,16.0,50,2
160,New construction,83000.0,1240.0,67.0,exist,exist,2.0,2.0,20.0,46,1
161,New construction,235000.0,2330.0,101.0,exist,exist,3.0,6.0,23.0,57,2
162,New construction,533000.0,2300.0,231.4,don't exist,don't exist,4.0,12.0,15.0,48,3
163,New construction,80000.0,964.0,83.0,exist,exist,3.0,3.0,4.0,46,2
164,Old building,79000.0,2260.0,35.0,exist,exist,1.0,5.0,5.0,52,3
165,Old building,139000.0,2320.0,60.0,exist,exist,2.0,6.0,9.0,47,2
166,New construction,320000.0,1800.0,178.0,exist,exist,4.0,11.0,16.0,49,2
167,New construction,200000.0,1850.0,108.0,don't exist,don't exist,2.0,16.0,18.0,57,3
168,Old building,135000.0,1350.0,100.0,exist,don't exist,4.0,3.0,9.0,48,2
169,Old building,310000.0,3100.0,100.0,exist,exist,4.0,5.0,5.0,52,3
170,New construction,485000.0,3150.0,154.0,exist,exist,3.0,8.0,22.0,58,2
171,New construction,170000.0,1180.0,144.0,don't exist,don't exist,3.0,17.0,17.0,47,3
172,Old building,230000.0,2090.0,110.0,exist,exist,4.0,2.0,4.0,47,2
173,Old building,110000.0,1570.0,70.0,don't exist,exist,2.0,1.0,9.0,52,1
174,New construction,120000.0,1480.0,81.0,don't exist,don't exist,2.0,5.0,9.0,49,2
175,New construction,280000.0,2000.0,140.0,exist,exist,3.0,19.0,19.0,49,3
176,New construction,320000.0,3020.0,106.0,exist,exist,3.0,10.0,27.0,48,2
177,New construction,1100000.0,5120.0,215.0,exist,exist,4.0,7.0,14.0,51,2
178,New construction,135000.0,1500.0,90.0,exist,exist,3.0,21.0,21.0,50,3
179,Old building,110000.0,1570.0,70.0,exist,exist,2.0,1.0,9.0,51,1
180,New construction,75000.0,1250.0,60.0,exist,exist,2.0,7.0,17.0,47,2
181,New construction,131000.0,2020.0,65.0,don't exist,exist,2.0,6.0,17.0,46,2
182,New construction,249000.0,1780.0,140.0,exist,exist,4.0,2.0,14.0,49,1
183,New construction,222950.0,3500.0,63.7,don't exist,don't exist,2.0,2.0,7.0,49,2
184,New construction,595000.0,3310.0,180.0,exist,exist,4.0,9.0,17.0,46,2
185,New construction,145000.0,1650.0,88.0,exist,exist,3.0,8.0,13.0,47,2
186,New construction,187000.0,2340.0,80.0,exist,exist,3.0,6.0,16.0,44,2
187,New construction,191000.0,2580.0,74.0,exist,exist,2.0,8.0,17.0,56,2
188,New construction,216000.0,2730.0,79.0,don't exist,exist,2.0,4.0,17.0,56,1
189,Old building,205000.0,2410.0,85.2,exist,exist,3.0,3.0,4.0,51,2
190,New construction,209700.0,1820.0,115.0,exist,exist,3.0,12.0,15.0,46,3
191,Old building,168000.0,3650.0,46.0,exist,exist,2.0,2.0,5.0,46,2
192,New construction,265000.0,2140.0,124.0,exist,exist,3.0,8.0,16.0,51,2
193,New construction,300000.0,2000.0,150.0,exist,exist,4.0,15.0,19.0,57,3
194,New construction,165000.0,1500.0,110.0,don't exist,don't exist,3.0,18.0,18.0,48,3
195,New construction,750000.0,3550.0,211.0,exist,don't exist,5.0,8.0,17.0,49,2
196,New construction,320000.0,3560.0,90.0,exist,exist,2.0,10.0,20.0,50,2
197,New construction,192000.0,2970.0,64.7,exist,exist,3.0,10.0,14.0,50,2
198,New construction,178000.0,1840.0,97.0,don't exist,exist,3.0,3.0,16.0,50,1
199,Old building,178000.0,1620.0,110.0,exist,exist,5.0,7.0,9.0,53,3
200,New construction,193000.0,3110.0,62.0,don't exist,exist,3.0,10.0,13.0,45,3
201,Old building,77000.0,1930.0,40.0,exist,exist,1.0,2.0,5.0,52,2
202,New construction,305000.0,2120.0,144.0,don't exist,don't exist,3.0,14.0,17.0,46,3
203,New construction,167000.0,2200.0,76.0,exist,exist,2.0,10.0,21.0,51,2
204,Old building,147000.0,2160.0,68.0,exist,exist,2.0,6.0,9.0,55,2
205,New construction,320000.0,2780.0,115.0,exist,exist,3.0,6.0,6.0,48,3
206,New construction,430000.0,3310.0,130.0,exist,exist,3.0,5.0,16.0,57,2
207,New construction,650000.0,3490.0,186.0,exist,exist,4.0,7.0,16.0,51,2
208,New construction,109000.0,2730.0,40.0,exist,exist,1.0,13.0,16.0,56,3
209,New construction,577500.0,3500.0,165.0,don't exist,don't exist,3.0,8.0,20.0,57,2
210,New construction,198000.0,1480.0,134.0,exist,exist,3.0,13.0,16.0,52,3
211,New construction,158000.0,2030.0,78.0,exist,exist,2.0,15.0,17.0,48,3
212,New construction,588000.0,2100.0,280.0,don't exist,don't exist,5.0,7.0,23.0,46,2
213,Old building,80000.0,2110.0,38.0,exist,exist,1.0,5.0,5.0,52,3
214,Old building,108000.0,2350.0,46.0,exist,exist,2.0,3.0,5.0,51,2
215,New construction,122000.0,1630.0,75.0,don't exist,exist,2.0,7.0,17.0,51,2
216,New construction,230000.0,2000.0,115.0,exist,exist,3.0,16.0,17.0,52,3
217,Old building,120000.0,1500.0,80.0,exist,exist,3.0,2.0,9.0,52,1
218,New construction,550000.0,2200.0,250.0,exist,exist,6.0,13.0,14.0,57,3
219,Old building,355000.0,3940.0,90.0,exist,exist,4.0,2.0,4.0,45,2
220,Old building,348000.0,1580.0,220.0,exist,exist,7.0,3.0,3.0,47,3
221,New construction,178000.0,2870.0,62.0,exist,exist,2.0,3.0,19.0,50,1
222,New construction,365000.0,2920.0,125.0,exist,exist,3.0,6.0,16.0,49,2
223,New construction,218000.0,2240.0,97.2,don't exist,don't exist,2.0,4.0,14.0,47,2
224,Old building,92000.0,3070.0,30.0,exist,exist,1.0,3.0,5.0,57,2
225,New construction,150000.0,2830.0,53.0,exist,exist,1.0,7.0,16.0,56,2
226,New construction,257000.0,1450.0,177.0,don't exist,don't exist,3.0,6.0,16.0,47,2
227,New construction,330000.0,3510.0,94.0,exist,exist,2.0,11.0,20.0,56,2
228,New construction,155000.0,1410.0,110.0,exist,exist,4.0,4.0,9.0,47,2
229,New construction,470000.0,2350.0,200.0,exist,exist,5.0,11.0,14.0,47,3
230,New construction,550000.0,2890.0,190.0,exist,exist,4.0,4.0,16.0,58,2
231,New construction,560000.0,2200.0,255.0,exist,exist,8.0,5.0,7.0,45,2
232,New construction,228000.0,1750.0,130.0,exist,exist,3.0,15.0,17.0,51,3
233,New construction,124000.0,2480.0,50.0,exist,exist,2.0,17.0,19.0,50,3
234,New construction,128000.0,2510.0,51.0,exist,exist,2.0,6.0,18.0,48,2
235,New construction,159900.0,2350.0,68.0,exist,exist,2.0,12.0,12.0,57,3
236,Old building,110000.0,1690.0,65.0,exist,exist,3.0,3.0,5.0,47,2
237,Old building,120000.0,1600.0,75.0,exist,exist,3.0,7.0,9.0,47,3
238,New construction,188000.0,2190.0,86.0,exist,exist,2.0,3.0,19.0,45,1
239,New construction,320000.0,1680.0,190.0,exist,exist,4.0,9.0,10.0,51,3
240,New construction,400000.0,2370.0,169.0,don't exist,don't exist,3.0,4.0,17.0,57,1
241,New construction,144000.0,2220.0,65.0,exist,exist,2.0,11.0,18.0,50,2
242,New construction,510000.0,2520.0,202.0,exist,exist,5.0,12.0,15.0,58,3
243,New construction,150000.0,1360.0,110.0,exist,exist,3.0,2.0,12.0,57,1
244,New construction,152000.0,1580.0,96.0,don't exist,exist,3.0,5.0,16.0,51,2
245,New construction,245000.0,2290.0,107.0,exist,exist,3.0,18.0,19.0,51,3
246,Old building,350000.0,3500.0,100.0,exist,exist,3.0,2.0,4.0,46,2
247,New construction,660000.0,2810.0,235.0,exist,exist,5.0,12.0,17.0,58,2
248,New construction,124000.0,1070.0,116.0,exist,exist,3.0,17.0,17.0,47,3
249,New construction,120000.0,2000.0,60.0,exist,exist,2.0,14.0,18.0,50,3
250,New construction,469000.0,3230.0,145.0,don't exist,exist,3.0,15.0,18.0,58,3
251,New construction,280000.0,1650.0,170.0,exist,don't exist,4.0,15.0,18.0,46,3
252,New construction,470000.0,2240.0,210.0,exist,exist,5.0,8.0,12.0,46,2
253,New construction,187000.0,2200.0,85.0,don't exist,exist,2.0,15.0,18.0,50,3
254,New construction,268000.0,2600.0,103.0,exist,exist,3.0,10.0,17.0,57,2
255,New construction,433000.0,2280.0,190.0,exist,exist,4.0,4.0,16.0,58,2
256,New construction,180000.0,3160.0,57.0,exist,exist,2.0,3.0,19.0,50,1
257,New construction,455000.0,2170.0,210.0,exist,exist,4.0,6.0,16.0,57,2
258,New construction,130000.0,2030.0,64.0,exist,exist,2.0,14.0,21.0,56,2
259,New construction,97000.0,1560.0,62.0,don't exist,exist,2.0,1.0,6.0,44,1
260,New construction,635000.0,3180.0,200.0,exist,exist,4.0,3.0,17.0,51,1
261,New construction,135000.0,2250.0,60.0,exist,exist,2.0,18.0,18.0,48,3
262,New construction,459000.0,2580.0,178.0,exist,exist,3.0,8.0,26.0,47,2
263,New construction,142000.0,2180.0,65.0,don't exist,exist,2.0,5.0,17.0,51,2
264,New construction,330000.0,2190.0,150.5,exist,exist,3.0,3.0,18.0,48,1
265,New construction,215000.0,1760.0,122.5,don't exist,exist,3.0,5.0,14.0,53,2
266,New construction,249000.0,1690.0,147.5,exist,exist,4.0,4.0,22.0,50,1
267,New construction,135000.0,1820.0,74.0,exist,exist,2.0,17.0,17.0,50,3
268,New construction,206000.0,1670.0,123.0,exist,exist,3.0,13.0,19.0,52,2
269,New construction,102500.0,1910.0,53.6,exist,exist,1.0,3.0,17.0,53,1
270,Old building,105000.0,3000.0,35.0,exist,exist,1.0,2.0,5.0,47,2
271,Old building,128000.0,2560.0,50.0,exist,exist,2.0,6.0,10.0,57,2
272,New construction,128000.0,2130.0,60.0,exist,exist,2.0,4.0,19.0,51,1
273,New construction,165000.0,2540.0,65.0,exist,exist,1.0,6.0,17.0,46,2
274,Old building,75000.0,1670.0,45.0,exist,don't exist,2.0,10.0,10.0,45,3
275,Old building,120000.0,1500.0,80.0,exist,don't exist,3.0,6.0,9.0,53,2
276,Old building,170000.0,1980.0,86.0,exist,exist,3.0,8.0,9.0,46,3
277,New construction,300000.0,2190.0,137.0,don't exist,don't exist,3.0,16.0,17.0,57,3
278,Old building,142000.0,1890.0,75.0,exist,don't exist,3.0,4.0,9.0,52,2
279,New construction,179900.0,2120.0,85.0,don't exist,exist,2.0,6.0,19.0,45,2
280,New construction,118000.0,1310.0,90.0,don't exist,don't exist,3.0,10.0,10.0,51,3
281,New construction,140000.0,1870.0,75.0,don't exist,exist,2.0,8.0,16.0,51,2
282,New construction,90000.0,1050.0,86.0,exist,exist,3.0,19.0,20.0,46,3
283,New construction,120000.0,2730.0,44.0,exist,exist,2.0,1.0,19.0,48,1
284,New construction,338000.0,2940.0,115.0,exist,exist,3.0,16.0,18.0,57,3
285,New construction,195000.0,3120.0,62.5,don't exist,exist,2.0,10.0,11.0,47,3
286,Old building,206000.0,1720.0,120.0,exist,exist,4.0,8.0,9.0,58,3
287,New construction,265000.0,2650.0,100.0,exist,exist,2.0,5.0,16.0,48,2
288,New construction,190000.0,2710.0,70.0,exist,exist,2.0,13.0,16.0,45,3
289,New construction,460000.0,2360.0,195.0,don't exist,exist,4.0,15.0,18.0,46,3
290,Old building,105000.0,1400.0,75.0,don't exist,exist,2.0,2.0,4.0,47,2
291,New construction,300000.0,2270.0,132.0,exist,don't exist,3.0,13.0,17.0,57,3
292,New construction,315000.0,2060.0,153.0,don't exist,exist,4.0,12.0,17.0,51,2
293,New construction,300000.0,2400.0,125.0,exist,exist,4.0,2.0,15.0,46,1
294,New construction,480000.0,3200.0,150.0,exist,exist,3.0,17.0,18.0,58,3
295,New construction,143000.0,1590.0,90.0,exist,exist,3.0,7.0,11.0,46,2
296,Old building,126000.0,1800.0,70.0,exist,exist,3.0,4.0,5.0,48,3
297,Old building,92000.0,2140.0,43.0,exist,exist,2.0,2.0,9.0,49,1
298,Old building,142000.0,1970.0,72.0,exist,exist,2.0,3.0,4.0,46,2
299,New construction,149000.0,1460.0,102.0,don't exist,don't exist,3.0,4.0,9.0,47,2
300,New construction,130900.0,1820.0,72.0,exist,don't exist,1.0,3.0,18.0,45,1
301,New construction,550000.0,2580.0,213.0,exist,don't exist,4.0,15.0,17.0,46,3
302,New construction,200000.0,2220.0,90.0,exist,exist,2.0,6.0,20.0,47,2
303,New construction,207000.0,2760.0,75.0,don't exist,exist,2.0,7.0,24.0,46,2
304,New construction,252000.0,2570.0,98.0,don't exist,don't exist,2.0,12.0,18.0,45,2
305,Old building,145000.0,1810.0,80.0,exist,exist,3.0,1.0,9.0,49,1
306,New construction,187000.0,3020.0,62.0,don't exist,exist,2.0,11.0,12.0,47,3
307,New construction,308000.0,2000.0,154.0,don't exist,don't exist,3.0,13.0,15.0,57,3
308,New construction,210000.0,1910.0,110.0,exist,exist,3.0,10.0,16.0,47,2
309,New construction,140000.0,2150.0,65.0,exist,exist,2.0,15.0,20.0,45,2
310,New construction,130000.0,1860.0,70.0,exist,exist,2.0,18.0,20.0,50,3
311,New construction,600000.0,2730.0,220.0,exist,exist,4.0,13.0,22.0,46,2
312,Old building,108000.0,3180.0,34.0,exist,exist,2.0,4.0,5.0,57,3
313,New construction,240000.0,3430.0,70.0,don't exist,exist,2.0,14.0,16.0,56,3
314,New construction,227000.0,1460.0,155.0,exist,exist,3.0,8.0,16.0,47,2
315,New construction,140000.0,1770.0,79.0,don't exist,exist,3.0,8.0,10.0,51,3
316,New construction,115000.0,1400.0,82.0,exist,exist,2.0,19.0,20.0,48,3
317,New construction,380000.0,2380.0,160.0,exist,exist,3.0,11.0,17.0,46,2
318,New construction,297000.0,1900.0,156.0,exist,don't exist,3.0,11.0,17.0,57,2
319,New construction,120000.0,2670.0,45.0,exist,exist,1.0,8.0,11.0,50,2
320,Old building,119500.0,1760.0,68.0,exist,exist,2.0,4.0,9.0,52,2
321,Old building,167500.0,2580.0,65.0,exist,exist,2.0,4.0,5.0,46,3
322,New construction,778000.0,2800.0,278.0,exist,don't exist,4.0,16.0,17.0,46,3
323,Old building,85000.0,2130.0,40.0,exist,don't exist,3.0,3.0,5.0,52,2
324,New construction,267000.0,1700.0,157.0,don't exist,don't exist,3.0,4.0,17.0,57,1
325,Old building,160000.0,1860.0,86.0,exist,exist,3.0,1.0,5.0,48,1
